epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.868,1.11564,2.90255,1.16597,0.41008,0.37917,0.35679,0.24287,1.02595,2.19268,1.07498,0.000301629,0.000301629,0.000301629
2,850.91,1.10459,1.95543,1.15891,0.68656,0.43053,0.50835,0.36444,1.0007,1.70856,1.0523,0.000592657,0.000592657,0.000592657
3,1269.01,1.09907,1.75271,1.1563,0.65707,0.46559,0.50379,0.36673,0.94937,1.84008,1.05409,0.000871687,0.000871687,0.000871687
4,1699.67,1.06542,1.58926,1.12546,0.6827,0.49002,0.56339,0.41809,0.8819,1.49818,1.02404,0.000855005,0.000855005,0.000855005
5,2149.43,1.03777,1.48078,1.12555,0.7512,0.55887,0.62883,0.46817,0.83289,1.25299,0.98142,0.000837007,0.000837007,0.000837007
6,2620.18,0.99644,1.33961,1.10595,0.70104,0.56614,0.62309,0.46122,0.85677,1.3192,0.99617,0.000819009,0.000819009,0.000819009
7,3064.37,0.9698,1.25862,1.08502,0.78193,0.58078,0.65703,0.49774,0.81309,1.09565,0.96656,0.000801011,0.000801011,0.000801011
8,3451.24,0.94735,1.16983,1.07307,0.79873,0.57663,0.67061,0.50152,0.79607,1.01665,0.97688,0.000783013,0.000783013,0.000783013
9,3836.39,0.92848,1.11554,1.06383,0.8178,0.60796,0.69283,0.52538,0.80486,0.95972,0.97878,0.000765014,0.000765014,0.000765014
10,4231.23,0.92911,1.09264,1.0586,0.79499,0.61982,0.69441,0.52661,0.77282,0.93019,0.941,0.000747016,0.000747016,0.000747016
11,4630.33,0.89505,1.02462,1.03936,0.79543,0.64043,0.70217,0.54382,0.75499,0.89154,0.95028,0.000729018,0.000729018,0.000729018
12,5012.58,0.86255,0.96994,1.02911,0.82309,0.61192,0.71039,0.5378,0.75938,0.91717,0.9333,0.00071102,0.00071102,0.00071102
13,5420.91,0.88206,0.98088,1.04094,0.87302,0.62315,0.72247,0.5434,0.72977,0.86394,0.92845,0.000693022,0.000693022,0.000693022
14,5810.86,0.853,0.93408,1.02446,0.84038,0.62895,0.71276,0.55495,0.72902,0.84605,0.93797,0.000675023,0.000675023,0.000675023
15,6202.78,0.83254,0.90526,1.01064,0.8479,0.62283,0.72038,0.55309,0.72022,0.81336,0.92659,0.000657025,0.000657025,0.000657025
16,6590.26,0.82693,0.87202,1.00675,0.86345,0.62675,0.73474,0.57569,0.69379,0.8113,0.92395,0.000639027,0.000639027,0.000639027
17,6977.24,0.80922,0.83634,1.00324,0.85828,0.65361,0.73519,0.57852,0.68495,0.75778,0.91125,0.000621029,0.000621029,0.000621029
18,7367.88,0.80197,0.84797,1.00029,0.8734,0.63863,0.74516,0.58373,0.69925,0.75626,0.91811,0.000603031,0.000603031,0.000603031
19,7757,0.79091,0.80636,0.99306,0.87365,0.67187,0.74852,0.58066,0.69354,0.71736,0.91141,0.000585032,0.000585032,0.000585032
20,8147.05,0.7757,0.79396,0.98835,0.86675,0.65634,0.75166,0.60063,0.65672,0.68825,0.89656,0.000567034,0.000567034,0.000567034
21,8535.91,0.7751,0.79116,0.99453,0.88094,0.66108,0.73979,0.58454,0.68127,0.72638,0.91137,0.000549036,0.000549036,0.000549036
22,8924.5,0.75947,0.76552,0.98597,0.88943,0.65964,0.7618,0.60591,0.66566,0.68236,0.90844,0.000531038,0.000531038,0.000531038
23,9312.8,0.75762,0.75032,0.98303,0.8387,0.67382,0.75543,0.60236,0.6454,0.69734,0.89848,0.00051304,0.00051304,0.00051304
24,9700.81,0.73493,0.70857,0.96729,0.93674,0.66084,0.76851,0.61008,0.65486,0.64959,0.9054,0.000495041,0.000495041,0.000495041
25,10089,0.74316,0.73052,0.97046,0.88972,0.68967,0.77675,0.61904,0.63513,0.64424,0.89386,0.000477043,0.000477043,0.000477043
26,10477.6,0.72719,0.71188,0.96208,0.89914,0.69674,0.78018,0.62193,0.6419,0.63585,0.89347,0.000459045,0.000459045,0.000459045
27,10866,0.72446,0.70087,0.96131,0.89933,0.69278,0.77722,0.62306,0.63005,0.62164,0.88706,0.000441047,0.000441047,0.000441047
28,11254.8,0.72686,0.69059,0.96766,0.90899,0.66736,0.77266,0.62558,0.61836,0.61536,0.88002,0.000423049,0.000423049,0.000423049
